Full Name;Phone;Email;Age;Experience;Yearly Income;Has children;License states;Expiration date;License number
Alex Cho;18900991919;cho.cho;12;45;1200.11;TRUE;Alabama; 12-12-2030;1xr567
Sam Smith;8900991919;ach@s.com;45;20;;;CA,LA ; 2021-12-11;xty771
Join Brig;8900991919;ach@s.com;15;14;;;Florida ; 2050-12-11;xty798
Alex Cho;1212121;cho.cho;12;45;1200.11;TRUE;Alabama; 12-12-2030;1xr567
Sam Smith;8900991919;ach@s.com;45;20;;;CA,LA ; 2021-12-11;xty771
Join Brig;8900991919;ach@s.com;15;14;;;Florida ; 2050-12-11;xty798
Alex Cho;1212121;cho.cho;12;45;1200.11;TRUE;Alabama; 12-12-2030;1xr567
Sam Smith;8900991919;;45;20;;;CA,LA ; 2021-12-11;xty771
Join Brig;8900991919;ach@s.com;15;14;;;Florida ; 2050-12-11;xty798
Alex Cho;1212121;cho.cho;12;45;1200.11;TRUE;Alabama; 12-12-2030;1xr567
