Full Name;Phone;Email;Age;Experience;Yearly Income;Has children;License states; Expiration date;License number
Alex Cho;18900991919;choasdasd@ukr.net;32;6;120000.1123;TRUE;Alabama|Florida|Texas ;  2023-11-12;1xr567
Sam Smith;18900991959;ach@sdfdf.com;21;1;456666;;CA,LA ;  2025-12-11;xty771
Join Brig;8000991919;ach@s.com;45;14;;;Florida ;  03/12/2032;xty798
John Heart;1212121217;chort@chosad.com;45;18;1200.11456;TRUE;Alabama; 12/03/2028;1xr567
Olivia Peyton;1110991919;achg@s.com;45;20;4500;FALSE;CA,LA ; 2030-01-01;xty7711
Robert Reagan;2350991919;achdfg@s.com;35;14;2313;;Florida ;  2022-12-12;xty798
Greta Sims;7777777777;ach@sdf.com;45;20;1200.1145;TRUE;Alabama;  2025-12-11;1xr567
Brett Wade;8900990056;acsdfh@s.com;41;20;10;;CA,LA ;  03/12/2032;xty771
Sandra Johnson;8900991919;aqqch@s.com;23;12;;;Florida ; 2022-01-01;xty79
Kevin Carter;1212121212;cxcho@chosdfs.com;28;14;345555;TRUE;Alabama;   2021-12-12;1xr567
Cynthia Stanwick;8900491919;acertfh@s.com;45;20;3000;;CA,LA ;  2025-12-11;xty771
Kent Samuelson;8968968968;acdfvh@s.com;23;14;1313;;Florida ;  02/09/2023;xty798
