Full Name;Phone;Email;Age;Experience;Yearly Income;Has children;License states; Expiration date;License number
Alex Cho;18900991919;cho.cho;12;45;120000.1123;TRUE;Alabama|Florida|Texas ; 12-12-2030;1xr567
Sam Smith;18900991919;ach@sdf.com;45,12;20;45666666;;CA,LA ;  2025-12-11;xty771
Join Brig;8000991919;ach@s.com;45;-14;;;Florida ;  03/12/2032;xty798
John Heart;1212121;chort.cho;45;47;1200.11456;TRUE;Alabama; 12/03/2012;1xr567
Olivia Peyton;1110991919;achg@s.com;45;20;4500;FALSE;CA,LA ;11.02.2014;xty7711
Robert Reagan;2350991919;achdfg@s.com;45;14;2313;12;Florida ;  2022-12-12;xty798
Greta Sims;456412121;ach@sdf.com;45;45;1200.1145;TRUE;Alabama;  2025-12-11;1xr567
Brett Wade;8900990056;acsdfh@s.com;45;20;-1;;CA,LA ;  03/12/2032;xty771
Sandra Johnson;8900991919;aqqch@s.com;45;0;;;Florida ; 2021-01-01;xty79
Kevin Carter;1212121212;cho.cho;45;45;345555;TRUE;Alabama;   2021-12-12;1xr567
Cynthia Stanwick;8900491919;acertfh@s.com;45;20;-131;;CA,LA ;  2025-12-11;xty771
Kent Samuelson;890011919;acdfvh@s.com;45;14;1313;;Florida ;  02/09/2021;xty798
